epoch,accuracy,loss,val_accuracy,val_loss
0,0.7369999885559082,0.7103456258773804,0.8637499809265137,0.31274521350860596
1,0.847000002861023,0.3856612741947174,0.8762500286102295,0.2923224866390228
2,0.8679999709129333,0.3272145390510559,0.8737499713897705,0.28495872020721436
3,0.906000018119812,0.2692229151725769,0.8974999785423279,0.2718014717102051
4,0.9169999957084656,0.20597369968891144,0.8837500214576721,0.32635506987571716
5,0.9369999766349792,0.15546181797981262,0.8974999785423279,0.30997443199157715
6,0.9350000023841858,0.16037197411060333,0.9024999737739563,0.29269564151763916
7,0.9459999799728394,0.16015318036079407,0.8324999809265137,0.5504181385040283
8,0.9520000219345093,0.11868799477815628,0.8462499976158142,0.625989556312561
9,0.9679999947547913,0.0849166065454483,0.8987500071525574,0.37683624029159546
